country,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15
Monaco,0.280715457,0.290322581,0.279543857,0.29860189,0.296883543,0.304381786,0.348668281,0.339607904,0.31773803,0.368819808,0.364914473,0.344450519
Mongolia,0.203094098,0.206828091,0.200948388,0.232568972,0.260386839,0.281859208,0.275811514,0.254514772,0.267885369,0.318389725,0.336800067,0.318672256
Montenegro,0.266758254,0.273496446,0.270792446,0.283418378,0.29150857,0.306249727,0.316978499,0.343953073,0.365868551,0.356666231,0.347245846,0.331218108
Montserrat,0.118951613,0.165322581,0.133064516,0.16733871,0.1875,0.241935484,0.282258065,0.304435484,0.302419355,0.344758065,0.282258065,0.304435484
Morocco,0.207281445,0.223062359,0.227962135,0.249669048,0.26331941,0.275903013,0.282977829,0.298408759,0.305129637,0.311618181,0.315322672,0.314056205
Mozambique,0.142261055,0.147315803,0.150424263,0.170419222,0.219398471,0.269217844,0.305161164,0.339872301,0.360903414,0.376207679,0.38452491,0.38655521
Myanmar,0.157896176,0.170154913,0.170185294,0.186563695,0.189592682,0.239891479,0.25246314,0.279250075,0.269774239,0.284612323,0.282260833,0.258244646
Nauru,0.152224824,0.140515222,0.140515222,0.163934426,0.229508197,0.222482436,0.147540984,0.112412178,0.182669789,0.257611241,0.37470726,0.400468384
Nepal,0.222636891,0.234631956,0.224588871,0.253287012,0.258247871,0.268543803,0.302025811,0.319143556,0.322197949,0.318091713,0.308923478,0.31011186
Netherlands,0.3475579,0.363149222,0.349523339,0.371251557,0.378547359,0.396913653,0.411381267,0.3951166,0.407098618,0.452917061,0.451410184,0.45109461
Netherlands Antilles,0.15974648,0.169289495,0.171954338,0.183874104,0.242356585,0.315279628,0.34246822,0.36256257,0.410169614,0.43094818,0.440239116,0.445100652
New Caledonia,0.208610253,0.201667866,0.220420776,0.23875037,0.275028574,0.304195064,0.332049274,0.364856284,0.370444059,0.379926343,0.397451636,0.385133133
New Zealand,0.285260828,0.289176617,0.290380755,0.318619942,0.338606196,0.362283517,0.378040308,0.393521813,0.405659635,0.408688707,0.409718685,0.41061102
Nicaragua,0.101925675,0.107719826,0.115854471,0.128441764,0.214383575,0.267177897,0.312084943,0.34273971,0.370054992,0.386828535,0.394906095,0.386657279
Niger,0.156053765,0.171155742,0.171882298,0.194197935,0.211479579,0.222637397,0.241372152,0.266023146,0.266645908,0.264466241,0.282266853,0.286522393
Nigeria,0.183006755,0.195408781,0.188427962,0.20514242,0.219789078,0.236795068,0.257186325,0.279766456,0.284497865,0.282751864,0.284364048,0.271240362
Niue,0.038216561,0.127388535,0.121019108,0.114649682,0.095541401,0.095541401,0.159235669,0.248407643,0.127388535,0.082802548,0.070063694,0.101910828
Northern Mariana Islands,0.138653084,0.14770798,0.146859083,0.158460668,0.209960385,0.263723826,0.325127334,0.27532541,0.271646859,0.345783814,0.411431805,0.421335597
Norway,0.348963526,0.361479335,0.349012693,0.370668839,0.381364775,0.402626899,0.412495186,0.382003267,0.43205421,0.448448089,0.446309311,0.446057329
Oman,0.208330345,0.214220317,0.209376701,0.234227658,0.251032644,0.287153025,0.302050942,0.306860805,0.323070886,0.321602613,0.334015434,0.332867817
Pakistan,0.184306185,0.19588217,0.19614436,0.222594736,0.244247209,0.264401804,0.27500348,0.283053665,0.303470449,0.301741941,0.324017518,0.316453678
Palau,0.10817942,0.129287599,0.134564644,0.135883905,0.201846966,0.244063325,0.290237467,0.291556728,0.279683377,0.249340369,0.284960422,0.263852243
Palestinian Territory,0.210972335,0.216164372,0.212830896,0.232746494,0.253753357,0.280139818,0.273856516,0.291683362,0.310038791,0.31135172,0.331761797,0.329962914
Panama,0.122068658,0.126593401,0.127957186,0.150282697,0.224948908,0.294307094,0.353566118,0.394340493,0.430860496,0.447380977,0.463380595,0.457766415
Papua New Guinea,0.161701301,0.176267236,0.183297728,0.197436395,0.227228588,0.2610604,0.270576811,0.284482424,0.27663624,0.279394057,0.283433676,0.266653719
Paraguay,0.110545637,0.109609212,0.113612768,0.130475202,0.204792053,0.273266426,0.334799042,0.381905285,0.425150473,0.451492512,0.45753856,0.469366013
Peru,0.114936834,0.115117734,0.115520646,0.136082523,0.240688569,0.293063026,0.326671237,0.342975814,0.355144375,0.3746003,0.381174345,0.377501884
Philippines,0.216966806,0.226293148,0.221114835,0.259408443,0.252024868,0.256179715,0.268872661,0.284602293,0.289447658,0.286674603,0.289770758,0.277213794
Poland,0.29429884,0.3088701,0.293472784,0.317798426,0.324632347,0.341894523,0.355927295,0.34379603,0.34051929,0.354064979,0.370761183,0.368555313
Portugal,0.333100521,0.341451898,0.324722452,0.347594205,0.356566485,0.368804706,0.378304469,0.373663262,0.352734931,0.405241012,0.421761371,0.404953756
Puerto Rico,0.285198213,0.299920945,0.294449643,0.31211442,0.31958211,0.331522908,0.333474265,0.336458839,0.386623703,0.38807221,0.380469426,0.368248433
Qatar,0.249488108,0.253971742,0.23967379,0.263716003,0.279899118,0.301368336,0.312930889,0.313319386,0.320283666,0.325910499,0.336476335,0.333126347
Romania,0.24024094,0.2619428,0.246536278,0.262676555,0.27601423,0.300426778,0.310941598,0.293734962,0.289994524,0.301120028,0.314062784,0.316062305
Russia,0.255302001,0.261212235,0.268874137,0.267146859,0.283243457,0.292159369,0.302348473,0.309793335,0.31431939,0.336542714,0.346068093,0.347840313
Rwanda,0.18599791,0.192696193,0.19387509,0.213139351,0.236342202,0.259277121,0.292500603,0.305441685,0.310532379,0.322669667,0.335691129,0.327170913
